Field,LongName,Description,Levels,Units,TermURL,HED
socialdev_cpd_089,,I stay away from physical danger as much as I can. | 0=  False;  1=  Somewhat false;  2=  Somewhat true;  3 = True,,,,
socialdev_cpd_089,,I stay away from physical danger as much as I can. | 0=  False;  1=  Somewhat false;  2=  Somewhat true;  3 = True,0 = False | 1 = Somewhat false | 2 = Somewhat true | 3 = True,,,
socialdev_crd_13b,,How old were you the first time this happened?,,,,
socialdev_crd_25,,Have you hit other students or got into a physical fight with them? | 0=Never;  1=Once or twice;  2=More often;  98=I don't know;  99=I'd rather not say,,,,
socialdev_crd_25,,Have you hit other students or got into a physical fight with them? | 0=Never;  1=Once or twice;  2=More often;  98=I don't know;  99=I'd rather not say,0 = Never | 1 = Once or twice | 2 = More often | 98 = I don't know | 99 = I'd rather not say,,,
socialdev_crd_37a,,Did this happen in the last 12 months? | 1=Yes;  0=No;  98=I don't know,,,,
socialdev_crd_37a,,Did this happen in the last 12 months? | 1=Yes;  0=No;  98=I don't know,1 = Yes | 0 = No | 98 = I don't know,,,
socialdev_cvict_c9_j___99,,Did the person who did this use any of these?  :  I'd rather not say | 1=Yes; 0=No,,,,
socialdev_cvict_c9_j___99,,Did the person who did this use any of these?  :  I'd rather not say | 1=Yes; 0=No,1 = Yes | 0 = No,,,
socialdev_cvict_w1_f_06,,"Any time someone started to attack you, but it didn't actually happen | 1=Yes; 0=No",,,,
socialdev_cvict_w1_f_06,,"Any time someone started to attack you, but it didn't actually happen | 1=Yes; 0=No",1 = Yes | 0 = No,,,
socialdev_cvict_g1_f_03,,Any time someone broke or ruined any of your things on purpose | 1=Yes; 0=No,,,,
socialdev_cvict_g1_f_03,,Any time someone broke or ruined any of your things on purpose | 1=Yes; 0=No,1 = Yes | 0 = No,,,
socialdev_contact_type_v,,Contact Type: | 1=  Phone; 2=  Email; 3=  In-person,,,,
socialdev_contact_type_v,,Contact Type: | 1=  Phone; 2=  Email; 3=  In-person,1 = Phone | 2 = Email | 3 = In-person,,,
socialdev_papq_07,,You play games or do other fun things with your child. | 0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always,,,,
socialdev_papq_07,,You play games or do other fun things with your child. | 0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always,0 = Never | 1 = Almost never | 2 = Sometimes | 3 = Often | 4 = Always,,,
socialdev_papq_19,,Your child goes out without a set time to be home. | 0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always,,,,
socialdev_papq_19,,Your child goes out without a set time to be home. | 0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always,0 = Never | 1 = Almost never | 2 = Sometimes | 3 = Often | 4 = Always,,,
socialdev_papq_31,,The punishment you give your child depends on your mood. | 0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always,,,,
socialdev_papq_31,,The punishment you give your child depends on your mood. | 0 = Never ; 1=  Almost never ; 2=  Sometimes ; 3=  Often ; 4 = Always,0 = Never | 1 = Almost never | 2 = Sometimes | 3 = Often | 4 = Always,,,
socialdev_pders_05,,I have difficulty making sense out of my feelings. | 0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always,,,,
socialdev_pders_05,,I have difficulty making sense out of my feelings. | 0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always,0 = Never | 1 = Sometimes | 2 = About half the time | 3 = Most of the time | 4 = Almost always,,,
socialdev_pders_16,,When I'm upset  I believe that I will end up feeling very depressed. | 0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always,,,,
socialdev_pders_16,,When I'm upset  I believe that I will end up feeling very depressed. | 0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always,0 = Never | 1 = Sometimes | 2 = About half the time | 3 = Most of the time | 4 = Almost always,,,
socialdev_pders_26,,When I'm upset  I have difficulty concentrating. | 0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always,,,,
socialdev_pders_26,,When I'm upset  I have difficulty concentrating. | 0 = Never; 1=  Sometimes; 2 = About half the time; 3 = Most of the time; 4=  Almost always,0 = Never | 1 = Sometimes | 2 = About half the time | 3 = Most of the time | 4 = Almost always,,,
socialdev_pfire_1,,Are any firearms now kept in or around your home? | 1 = Yes; 0 = No; 98=  I don't know; 99=  I'd rather not say,,,,
socialdev_pfire_1,,Are any firearms now kept in or around your home? | 1 = Yes; 0 = No; 98=  I don't know; 99=  I'd rather not say,1 = Yes | 0 = No | 98 = I don't know | 99 = I'd rather not say,,,
socialdev_pfbc_05,,I did not understand some of the questions. | 5= Strongly agree; 4= Agree; 3= Neither agree nor disagree (neutral); 2= Disagree; 1= Strongly disagree,,,,
socialdev_pfbc_05,,I did not understand some of the questions. | 5= Strongly agree; 4= Agree; 3= Neither agree nor disagree (neutral); 2= Disagree; 1= Strongly disagree,5 = Strongly agree | 4 = Agree | 3 = Neither agree nor disagree (neutral) | 2 = Disagree | 1 = Strongly disagree,,,
socialdev_pfbc_16,,I would rather do both studies at the same time. | 5= Strongly agree; 4= Agree; 3= Neither agree nor disagree (neutral); 2= Disagree; 1= Strongly disagree,,,,
socialdev_pfbc_16,,I would rather do both studies at the same time. | 5= Strongly agree; 4= Agree; 3= Neither agree nor disagree (neutral); 2= Disagree; 1= Strongly disagree,5 = Strongly agree | 4 = Agree | 3 = Neither agree nor disagree (neutral) | 2 = Disagree | 1 = Strongly disagree,,,
socialdev_pfbi_08,,I did not understand some of the questions. | 5= Strongly agree; 4= Agree; 3= Neither agree nor disagree (neutral); 2= Disagree; 1= Strongly disagree,,,,
socialdev_pfbi_08,,I did not understand some of the questions. | 5= Strongly agree; 4= Agree; 3= Neither agree nor disagree (neutral); 2= Disagree; 1= Strongly disagree,5 = Strongly agree | 4 = Agree | 3 = Neither agree nor disagree (neutral) | 2 = Disagree | 1 = Strongly disagree,,,
socialdev_pneigh_02,,My neighbors could be counted on to intervene in various ways if children were spray-painting graffiti on a local building. | 1 = Strongly disagree; 2 = Disagree; 3=  Neutral; 4=  Agree; 5=  Strongly agree,,,,
socialdev_pneigh_02,,My neighbors could be counted on to intervene in various ways if children were spray-painting graffiti on a local building. | 1 = Strongly disagree; 2 = Disagree; 3=  Neutral; 4=  Agree; 5=  Strongly agree,1 = Strongly disagree | 2 = Disagree | 3 = Neutral | 4 = Agree | 5 = Strongly agree,,,
socialdev_pneigh_10,,People in this neighborhood can be trusted. | 1 = Strongly disagree; 2 = Disagree; 3=  Neutral; 4=  Agree; 5=  Strongly agree,,,,
socialdev_pneigh_10,,People in this neighborhood can be trusted. | 1 = Strongly disagree; 2 = Disagree; 3=  Neutral; 4=  Agree; 5=  Strongly agree,1 = Strongly disagree | 2 = Disagree | 3 = Neutral | 4 = Agree | 5 = Strongly agree,,,
socialdev_pneigh_17,,There are too many people hanging around on the streets near my home. | 1 = Strongly disagree; 2 = Disagree; 3 = Agree; 4 = Strongly agree,,,,
socialdev_pneigh_17,,There are too many people hanging around on the streets near my home. | 1 = Strongly disagree; 2 = Disagree; 3 = Agree; 4 = Strongly agree,1 = Strongly disagree | 2 = Disagree | 3 = Agree | 4 = Strongly agree,,,
socialdev_ppd_09,,Tries to cheer up others when they are sad or upset. | 0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true,,,,
socialdev_ppd_09,,Tries to cheer up others when they are sad or upset. | 0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true,0 = Not at all true | 1 = Somewhat true | 2 = Very true | 3 = Definitely true,,,
socialdev_ppd_23,,Works hard on everything. | 0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true,,,,
socialdev_ppd_23,,Works hard on everything. | 0 = Not at all true; 1=  Somewhat true; 2=  Very true; 3 = Definitely true,0 = Not at all true | 1 = Somewhat true | 2 = Very true | 3 = Definitely true,,,
socialdev_ppd_38,,Gotten others to gang up on someone else. | 0 = Never; 1 = Sometimes; 2=  Often,,,,
socialdev_ppd_38,,Gotten others to gang up on someone else. | 0 = Never; 1 = Sometimes; 2=  Often,0 = Never | 1 = Sometimes | 2 = Often,,,
socialdev_prd_11b,,How old was your child the first time this happened?,,,,
socialdev_prd_24a,,Did this happen in the last 12 months? | 1=Yes; 0=No; 98=I don't know,,,,
socialdev_prd_24a,,Did this happen in the last 12 months? | 1=Yes; 0=No; 98=I don't know,1 = Yes | 0 = No | 98 = I don't know,,,
socialdev_prd_36a,,Did this happen in the last 12 months? | 1=Yes; 0=No; 98=I don't know,,,,
socialdev_prd_36a,,Did this happen in the last 12 months? | 1=Yes; 0=No; 98=I don't know,1 = Yes | 0 = No | 98 = I don't know,,,
socialdev_pvict_c9_j___99,,Did the person who did this use any of these?  I'd rather not say | 1=YES; 0=No,,,,
socialdev_pvict_c9_j___99,,Did the person who did this use any of these?  I'd rather not say | 1=YES; 0=No,1 = YES | 0 = No,,,
socialdev_pvict_w1_f_06,,"Any time someone started to attack your child, but it didn't actually happen | 1=Yes; 0=No",,,,
socialdev_pvict_w1_f_06,,"Any time someone started to attack your child, but it didn't actually happen | 1=Yes; 0=No",1 = Yes | 0 = No,,,
socialdev_pvict_g1_f_03,,Any time someone broke or ruined any of your child's things on purpose | 1=Yes; 0=No,,,,
socialdev_pvict_g1_f_03,,Any time someone broke or ruined any of your child's things on purpose | 1=Yes; 0=No,1 = Yes | 0 = No,,,
socialdev_visit_01,,Is this visit being completed on the same day as the ABCD visit  or on a separate day? | 1 = Same day; 2=  Separate day,,,,
socialdev_visit_01,,Is this visit being completed on the same day as the ABCD visit  or on a separate day? | 1 = Same day; 2=  Separate day,1 = Same day | 2 = Separate day,,,
socialdev_visit_consent,,Did the participants legal guardians give consent for participation in the Social Development SubStudy? | 1 = Yes; 0=No,,,,
socialdev_visit_consent,,Did the participants legal guardians give consent for participation in the Social Development SubStudy? | 1 = Yes; 0=No,1 = Yes | 0 = No,,,
sai_ss_gym_perwk_p,,"Gymnastics: About how many days per week? | 0 = 0; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = Once every 2 weeks; 9 = One day every month; 10 = Less than one day per month/; 999 = Don't know | When gymnastics was not endorsed, values for the follow-up questions are missing. Here, missing values for  the  ""... how many...?"" follow-up questions have been replaced with ""0"".",,,,
sai_ss_gym_perwk_p,,"Gymnastics: About how many days per week? | 0 = 0; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = Once every 2 weeks; 9 = One day every month; 10 = Less than one day per month/; 999 = Don't know | When gymnastics was not endorsed, values for the follow-up questions are missing. Here, missing values for  the  ""... how many...?"" follow-up questions have been replaced with ""0"".","0 = 0 | 1 = 1 | 2 = 2 | 3 = 3 | 4 = 4 | 5 = 5 | 6 = 6 | 7 = 7 | 8 = Once every 2 weeks | 9 = One day every month | 10 = Less than one day per month/ | 999 = Don't know | When gymnastics was not endorsed, values for the follow-up questions are missing. Here, missing values for  the  ""... how many...?"" follow-up questions have been replaced with ""0"".",,,
sai_ss_sboard_perwk_p,,"Skiing, Snowboarding: About how many days per week? | 0 = 0; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = Once every 2 weeks; 9 = One day every month; 10 = Less than one day per month/; 999 = Don't know | When skiing/snowboarding was not endorsed, values for the follow-up questions are missing. Here, missing values for  the  ""... how many...?"" follow-up questions have been replaced with ""0"".",,,,
sai_ss_sboard_perwk_p,,"Skiing, Snowboarding: About how many days per week? | 0 = 0; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = Once every 2 weeks; 9 = One day every month; 10 = Less than one day per month/; 999 = Don't know | When skiing/snowboarding was not endorsed, values for the follow-up questions are missing. Here, missing values for  the  ""... how many...?"" follow-up questions have been replaced with ""0"".","0 = 0 | 1 = 1 | 2 = 2 | 3 = 3 | 4 = 4 | 5 = 5 | 6 = 6 | 7 = 7 | 8 = Once every 2 weeks | 9 = One day every month | 10 = Less than one day per month/ | 999 = Don't know | When skiing/snowboarding was not endorsed, values for the follow-up questions are missing. Here, missing values for  the  ""... how many...?"" follow-up questions have been replaced with ""0"".",,,
sai_ss_yoga_perwk_p,,"Yoga, Tai Chi: About how many days per week? | 0 = 0; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = Once every 2 weeks; 9 = One day every month; 10 = Less than one day per month/; 999 = Don't know | When yoga/tai chi was not endorsed, values for the follow-up questions are missing. Here, missing values for  the  ""... how many...?"" follow-up questions have been replaced with ""0"".",,,,
sai_ss_yoga_perwk_p,,"Yoga, Tai Chi: About how many days per week? | 0 = 0; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = Once every 2 weeks; 9 = One day every month; 10 = Less than one day per month/; 999 = Don't know | When yoga/tai chi was not endorsed, values for the follow-up questions are missing. Here, missing values for  the  ""... how many...?"" follow-up questions have been replaced with ""0"".","0 = 0 | 1 = 1 | 2 = 2 | 3 = 3 | 4 = 4 | 5 = 5 | 6 = 6 | 7 = 7 | 8 = Once every 2 weeks | 9 = One day every month | 10 = Less than one day per month/ | 999 = Don't know | When yoga/tai chi was not endorsed, values for the follow-up questions are missing. Here, missing values for  the  ""... how many...?"" follow-up questions have been replaced with ""0"".",,,
bpm_t_scr_attention_nm,,Number Missing Answers,,,,
bpm_t_ss_internal_mean,,Mean: Mean(bpmt_q8 plus  bpmt_q10 plus  bpmt_q11 plus  bpmt_q12 plus  bpmt_q17 plus  bpmt_q18); Validation: All items must be answered,,,,
bpm_t_ss_external_nm,,Number Missing Answers,,,,
via_p_ss_amer_nt,,"VIA American ""Mainstream"" Culture Subscale, Mean: Number Total Questions",,,,
macv_p_ss_fr_nt,,"MACVS Family as Referent Subscale, Mean: Number Total Questions",,,,
fes_p_ss_act_rec_sum_pr,,ActIvIty-RecreatIonal subscale From the FamIly EnvIronment Scale Sum oF Parent Report Prorated Score  (Based on mInImum oF 5 Items answered) | [fes_p_ss_act_rec_sum]*[fes_p_ss_act_rec_sum_nt]/[fes_p_ss_act_rec_sum_na],,,,
psb_y_ss_answered,,"Prosocial Behavior Subscale, Mean of Youth Self Report: Number Answered",,,,
srpf_y_ss_dfs_nm,,"SRPF School Disengagement Subscale, Sum: Number Missing Answers",,,,
pbp_ss_prosocial_peers_nt,,Involvement with Prosocial Peers Total,,,,
stq_y_ss_weekday_nm,,"Screen Time Youth, Weekday Sum:  Number Missing Answers",,,,
stq_y_ss_weekend_nm,,"Screen Time Youth, Weekend Sum:  Number Missing Answers",,,,
sds_p_ss_sbd_nm,,SBD:  Number Missing Answers,,,,
sds_p_ss_shy,,"Sleep Hyperhydrosis (SHY) SUM: sleepdisturb9_p + sleepdisturb16_p; Validation: All items must be answered | Bruni, O., Ottaviano, S., et al. (1996) The Sleep Disturbance Scale for Children (SDSC). Construction and validation of an instrument to evaluate sleep disturbances in childhood and adolescence. J Sleep Res 5(4): 251-261.",,,,
